strategy_total_return,buy_hold_total_return,excess_total_return,strategy_sharpe,buy_hold_sharpe,strategy_max_dd,buy_hold_max_dd
-0.15717345465069288,0.09149816124640209,-0.24867161589709497,-1.5543067480204413,0.9406883311115604,-0.22612377156672536,-0.14448311442629025
-0.25725704303271413,0.4128391961721689,-0.670096239204883,-3.03699288193555,3.774511200638941,-0.2696039079875412,-0.061084581045201536
-0.16973589921505505,0.291656544099399,-0.46139244331445406,-1.7425172826641182,2.650161120438112,-0.21846542708116878,-0.10186810535853641
-0.22360824976537652,0.2794084127969725,-0.503016662562349,-2.2977554011740193,2.4410608798078464,-0.2483462186298111,-0.10179775303520211
-0.1986277871284151,0.27677956436439244,-0.47540735149280755,-2.262432404830397,2.6994046442686535,-0.22951138650124225,-0.07271421694883251
-0.17776912066315975,0.192452118855299,-0.37022123951845876,-1.7797792905630776,1.79324397997926,-0.1719856899453277,-0.12920137018273758
-0.1610279213055521,0.18210647092943577,-0.3431343922349879,-2.042463185453111,2.1061168429168005,-0.19432700849149454,-0.08548239592283657
-0.22003263341473334,0.2326291561329501,-0.45266178954768344,-2.226232581312895,2.0663072897811423,-0.23489768765982877,-0.07730017188993332
-0.20452199562780404,0.30194699685904935,-0.5064689924868534,-2.2145248531215254,2.779395005500482,-0.2295709201283347,-0.12681480262919753
-0.23798570335128233,0.20752910980427597,-0.4455148131555583,-2.778673843142498,2.0751986977253063,-0.2727566775462513,-0.08077912284053379
-0.2730361868830373,0.48076156941595327,-0.7537977562989906,-3.5249550345808482,4.60598572432108,-0.26846727815787597,-0.055996631320163304
-0.20231002280290367,0.18288475355843725,-0.3851947763613409,-2.3224997071419584,1.8854368967517603,-0.21644327384362505,-0.0740764846706834
-0.2606805762501624,0.2412074168525935,-0.5018879931027559,-3.284823498900079,2.492839750836189,-0.2736916423053357,-0.07186639778506443
-0.11018534358201615,0.11610203078785108,-0.22628737436986723,-1.5856011205025962,1.6390366738749877,-0.16686839242657658,-0.06896891079401168
-0.25588137582653525,0.3688086025518442,-0.6246899783783795,-2.990262754348037,3.3957666440280563,-0.24609623154820182,-0.07485154405502747
-0.3115800906921403,0.4493461309368372,-0.7609262216289775,-3.2459446780904693,3.4643072890965008,-0.3104848666088964,-0.10535248383423435
-0.20542993128582854,0.0815930337804942,-0.28702296506632274,-2.1888151640140863,0.8664320787274709,-0.21894603757686248,-0.1898758718382889
-0.14410247741545013,0.23152444310841735,-0.3756269205238675,-1.4294968274935962,2.149670390262431,-0.229436356688702,-0.06418234709053883
-0.16125003531180504,0.17595401728518478,-0.3372040525969898,-1.466566379481132,1.5567623405630897,-0.2069309789711573,-0.11461603858836356
-0.10987071003171545,0.20197877159347066,-0.3118494816251861,-1.2689755540921186,2.233086473752079,-0.14415202747174893,-0.09507793673840259
-0.2516237538056615,0.2826203584386404,-0.5342441122443019,-3.0817343249263867,2.809520824445852,-0.28122793639755406,-0.0656635879437355
-0.177451128334997,0.05116981361084849,-0.22862094194584548,-2.3001043507276235,0.6801222564771428,-0.20555485332496626,-0.11348009738906162
-0.22960326670807762,0.3285937971801196,-0.5581970638881972,-2.5900002996668317,3.0398735222864013,-0.28111447366712994,-0.0709185883064426
-0.2666535605554585,0.15874278996492586,-0.4253963505203844,-3.222878351547461,1.6452288156226451,-0.25240793648616244,-0.11249125917890013
-0.09162011790561475,0.11778417395903773,-0.20940429186465248,-1.008247445432901,1.3504759089525662,-0.1279409199454662,-0.08524304185055742
-0.14868425354773995,0.363840808200099,-0.512525061747839,-1.1645220534057215,2.618879710815685,-0.21281474577111004,-0.05963125558746363
-0.21785977582399296,0.38486380997013137,-0.6027235857941243,-2.6681736896026136,3.803658480986618,-0.22159096057510053,-0.0718663977850642
-0.18412804973299013,0.17121577667274046,-0.3553438264057306,-2.028357799323492,1.7313158695586794,-0.20813264529952358,-0.12209895206514021
-0.22252037721849494,0.29777478582967754,-0.5202951630481725,-2.355021682337934,2.6505312757181345,-0.22726593023107855,-0.08267020919876045
-0.23479183912851276,0.35699087843501864,-0.5917827175635314,-2.8484610310845664,3.4660763969268844,-0.24523966145107667,-0.08077912284053379
-0.23789749516183545,0.44935549098624006,-0.6872529861480755,-2.616889640984801,3.8621712626065525,-0.26088321771263867,-0.058827375585608244
-0.2461152817134562,0.41133817652860083,-0.657453458242057,-3.654793400858338,4.728410763233451,-0.25898033645645036,-0.055452970089249654
-0.12561517621655138,0.4135066261570022,-0.5391218023735536,-1.2771969878768212,3.7092712933700107,-0.14442120513297463,-0.08226964858909769
-0.27428746684396144,0.39480286010285326,-0.6690903269468147,-3.295418613273745,3.6299477647293004,-0.30786591034836264,-0.06418234709053905
-0.2542485542813572,0.6602638921083601,-0.9145124463897173,-2.8564026195651033,5.422952021773829,-0.26459521004917397,-0.052898055712141456
-0.15257291389758698,0.21855091068625443,-0.3711238245838414,-1.5619652945965765,2.0808125180702173,-0.21205606974954627,-0.1077208145144335
-0.26607049853046927,0.5150982918779969,-0.7811687904084662,-2.5728506531976727,3.771857943906301,-0.28231143687902227,-0.0631714718221894
-0.11288830925186577,-0.0522839159510593,-0.06060439330080647,-1.2837192123893861,-0.5349659675071183,-0.12491298398223671,-0.14104888357875411
-0.18553685069802128,0.5974785421416751,-0.7830153928396963,-1.9858676304952823,5.032337031291738,-0.19223267812850642,-0.06855245848448144
-0.1741634995305683,0.3178678848563192,-0.49203138438688754,-1.7861220712928014,2.848867949514836,-0.19117511036731205,-0.08992874692323582
-0.20009491121216227,0.35686440114258056,-0.5569593123547428,-2.192635470087175,3.2534681606718783,-0.2185586209248893,-0.1236802808555798
-0.14050339989713667,0.3636058384495957,-0.5041092383467324,-1.3177025398315172,3.0477389378166158,-0.1991107983507715,-0.05192607620937717
-0.2007027753783378,0.37784007632181726,-0.5785428517001551,-2.4158384890848468,3.7291847057639482,-0.2422995247017461,-0.08377658927386888
-0.1563532810734103,0.22927902497839425,-0.38563230605180454,-1.453451469617567,2.004074019717518,-0.21970398333786922,-0.1357407014287667
-0.2659673730602349,0.3999330802837304,-0.6659004533439653,-3.178383106495104,3.6836703997112568,-0.2707367377470644,-0.05408560278033403
-0.23399889915835437,0.5967973990436493,-0.8307962982020036,-2.650009620908299,5.106247325999774,-0.2608050755823683,-0.04826507666512703
-0.15775609651120126,0.3552106847684733,-0.5129667812796745,-1.4694935611408708,2.9272547195716387,-0.1979812313776762,-0.08377658927386877
-0.24568905172999367,0.23488541344409608,-0.48057446517408975,-3.15095966438163,2.495338098552872,-0.24993571995070019,-0.1365938554488938
-0.2788442747066674,0.20365862499444476,-0.48250289970111215,-3.63048239640049,2.170084249217021,-0.2896214111326634,-0.0666379525859856
-0.17905587096241937,0.3800992566475925,-0.5591551276100118,-1.9140086376987455,3.431827446172921,-0.21667234132599456,-0.1253344566160235
-0.23821961886773024,0.3624486951862058,-0.6006683140539361,-2.638695891026358,3.234396588485694,-0.28772437297907605,-0.0656635879437355
-0.22467937983814257,0.5113751300895029,-0.7360545099276454,-2.296932401896492,4.069017570674493,-0.2333675198526345,-0.06331028974578734
-0.25995056740078604,0.7166483771456023,-0.9765989445463883,-2.3804489698934725,4.747722978961301,-0.2953785147281258,-0.08269471901875947
-0.21641923780956085,0.46151009266778376,-0.6779293304773446,-1.8851834750596603,3.283305023876307,-0.24480145967597378,-0.08591078998748569
-0.1846742224858603,0.13025925249264647,-0.31493347497850677,-1.746963074043349,1.211700723459671,-0.19228535155489346,-0.13634057732481275
-0.29105342020467995,0.3900052326042176,-0.6810586528088975,-3.728257490700063,3.7471827964094384,-0.30189347717424897,-0.07485154405502747
-0.13407989190099545,0.2895753012001303,-0.42365519310112576,-1.3396574131245071,2.6617983251714747,-0.15116368235232636,-0.06949647745084797
-0.16117654178277008,0.27402300969715854,-0.4351995514799286,-1.9327890417125226,2.890729476054332,-0.17664219935251435,-0.08405201397268325
-0.061777738021867146,0.1494841317597586,-0.21126186978162576,-0.5493911116756633,1.4975988298631204,-0.13860824381201453,-0.08938830163542155
-0.25276906961046985,0.5513638432773165,-0.8041329128877863,-3.822604987251243,6.2312547344157405,-0.26845721631076236,-0.026621728795249044
-0.28822517603572195,0.5245386044630636,-0.8127637804987855,-3.4908147027185814,4.62535871896371,-0.2940979806245212,-0.04826507666512714
-0.23200411877574978,0.20340547189438962,-0.4354095906701394,-3.0041815460277186,2.2409296104802916,-0.24432812384916958,-0.07485154405502747
-0.12815615351206422,-0.11540682316610884,-0.012749330345955379,-1.1785079645174115,-1.0506737425092993,-0.1731434345967392,-0.1454952044541039
-0.17947984827706942,0.06784737865391288,-0.2473272269309823,-2.226936772656617,0.8450449368046248,-0.18161305058742983,-0.18228426175823842
-0.32179259776731195,0.5875763813345898,-0.9093689791019017,-3.7737473161916406,4.788521635444556,-0.3259168322309671,-0.06418234709053905
-0.22781370171598947,0.315297703519809,-0.5431114052357985,-2.9596335044540254,3.350484996375796,-0.250505369073875,-0.04817214446162277
-0.2517733554575624,0.6054400262043396,-0.857213381661902,-2.4596466951788387,4.41918062085661,-0.2988593610710035,-0.04826507666512703
-0.14580331585233874,0.3182591318852164,-0.4640624477375551,-1.9646067299601662,3.744211977587507,-0.16765806847631637,-0.056967844936333334
-0.2136706046533169,0.31646795687437734,-0.5301385615276942,-2.2558527476426904,2.810202031893454,-0.23946704570929755,-0.10125042801826856
-0.08584234777367061,0.3137283489671965,-0.3995706967408671,-1.2799734303530512,4.292113639749653,-0.11895323208339514,-0.07367142787917491
-0.22383004282454244,0.36973367829503867,-0.5935637211195811,-2.0654517485914474,2.8470886526484027,-0.21919403888189826,-0.06638963279109977
-0.1941217474767012,0.21986511754479832,-0.4139868650214995,-2.6838834566001335,2.6268656888191244,-0.19529819916274793,-0.049128640203767615
-0.1665756883528665,0.5384959026332894,-0.7050715909861559,-1.4163159293770649,3.8170052641420615,-0.21251444837261324,-0.09381302490644305
-0.19348438979018334,0.29089379607028953,-0.4843781858604729,-2.728252070967513,3.4430514535399634,-0.20009541459669866,-0.08377658927386888
-0.30590392585778026,0.35917184136186586,-0.6650757672196461,-4.671976311485072,4.05520451569728,-0.31232457328935714,-0.08081830770480647
-0.14074114543101057,0.17947023304693488,-0.32021137847794545,-1.3880385506029533,1.7193915292223156,-0.15493998469950454,-0.16403933530324633
-0.18408277709266962,0.4226244251627018,-0.6067072022553714,-1.9007348321802995,3.634040010831783,-0.22737468278294692,-0.05822233721545511
-0.22946168198769834,0.4066529105312864,-0.6361145925189847,-2.672981836029363,3.7622994718107368,-0.23695267500038608,-0.14282992773601888
-0.22008254070801847,0.5324194420770665,-0.752501982785085,-2.1860406151120024,4.130873917818686,-0.22058613602769406,-0.04826507666512725
-0.24370953915894844,0.04238659257799804,-0.2860961317369465,-2.717145468609425,0.5045588226274826,-0.29711151708862993,-0.10369865588939464
-0.1750934554609075,0.34692310901273915,-0.5220165644736466,-1.932940857604118,3.2650118442588063,-0.18761058166749622,-0.07485154405502747
-0.18419818619463524,0.3425567636117355,-0.5267549498063707,-2.215804021686181,3.4515720689441904,-0.22953872605354897,-0.07979138611195347
-0.19088936035084092,0.43664108875879015,-0.6275304491096311,-2.025352778986703,3.7986509490708316,-0.21907981698144552,-0.060766153608015294
-0.25469732598234174,0.48469630547768916,-0.7393936314600309,-2.462809881542258,3.6185901135934553,-0.2629114558950384,-0.07265566697221182
-0.23666771631712202,0.5124613908795126,-0.7491291071966346,-2.665860705605007,4.427081681343881,-0.24807515006698422,-0.04826507666512703
-0.22310368038712436,0.40621166227578054,-0.6293153426629049,-3.2938670213492762,4.729066988923692,-0.21288751010222884,-0.03178666147155129
-0.31624423238204336,0.6707511139676559,-0.9869953463496992,-3.3198070630346783,4.845725628168128,-0.3386108673912477,-0.07186639778506465
-0.23038702845251136,0.2958496977339742,-0.5262367261864855,-2.2769152623379556,2.478257223418259,-0.23282753486233765,-0.07320849573101251
-0.18916578409912643,0.3254721340511091,-0.5146379181502355,-1.7251875592363384,2.590443898078249,-0.25202596336690364,-0.07186639778506432
-0.12632816595851215,0.10937786206930245,-0.2357060280278146,-1.6962641503123712,1.4350239002835095,-0.21164559066006217,-0.05610696931478909
-0.11323604822704525,0.05548020444858448,-0.16871625267562973,-1.0525338306572942,0.6118248274433183,-0.15511115600330505,-0.12289877495050372
