date,predicted,actual,position,turnover,cost,strategy_return,strategy_equity,buy_hold_return,buy_hold_equity
2016-08-02,-0.0010886636594733456,0.012538261384428484,-1,1.0,0.0005,-0.013038261384428484,0.9869617386155716,0.012038261384428484,1.0120382613844285
2016-08-03,-0.0011345015289147696,0.006177540619102917,-1,0.0,0.0,-0.006177540619102917,0.9808647423857735,0.006177540619102917,1.0182901688522172
2016-08-04,0.00016213492425944123,0.015207334379682136,1,2.0,0.001,0.014207334379682135,0.9948002157620889,0.015207334379682136,1.0337756479454958
2016-08-05,-0.001971760838928863,0.008280605423592657,-1,2.0,0.001,-0.009280605423592658,0.9855678674842961,0.008280605423592657,1.0423359361826512
2016-08-08,0.0004998160265616572,0.004060119782746341,1,2.0,0.001,0.003060119782746341,0.9885838232128241,0.004060119782746341,1.046567944937414
2016-08-09,-0.0011951658951418684,-0.00744415289586553,-1,2.0,0.001,0.00644415289586553,0.994954408519987,-0.00744415289586553,1.038777133139388
2016-08-10,-0.0013554997880317076,-0.0006481406427337744,-1,0.0,0.0,0.0006481406427337744,0.995599278909816,-0.0006481406427337744,1.038103859460658
2016-08-11,-0.0013734001923147328,0.0023163133421075788,-1,0.0,0.0,-0.0023163133421075788,0.9932931590166846,0.0023163133421075788,1.04050843328082
2016-08-12,-0.00010516333144235819,0.012017042779134623,-1,0.0,0.0,-0.012017042779134623,0.9813567126325593,0.012017042779134623,1.053012267635606
2016-08-15,-0.001573300624785636,-0.0009134667269289354,-1,0.0,0.0,0.0009134667269289354,0.9822531493367974,-0.0009134667269289354,1.0520503759660729
2016-08-16,-0.0014958537699521007,-0.001462757540692694,-1,0.0,0.0,0.001462757540692694,0.983689947537859,-0.001462757540692694,1.05051148134544
2016-08-17,-8.133319207667205e-05,-0.0012818108997154631,-1,0.0,0.0,0.0012818108997154631,0.9849508520345536,-0.0012818108997154631,1.0491649242783752
2016-08-18,-0.0011807296851378704,0.002566912095333329,-1,0.0,0.0,-0.002566912095333329,0.9824225697791572,0.002566912095333329,1.0518580384125047
2016-08-19,-0.002044032341874643,-0.007772479616286687,-1,0.0,0.0,0.007772479616286687,0.9900584291773458,-0.007772479616286687,1.0436824932497162
2016-08-22,-0.0016764271230142547,0.0031333140812566107,-1,0.0,0.0,-0.0031333140812566107,0.9869562651599376,0.0031333140812566107,1.0469526783021765
2016-08-23,-0.0003513094058293059,-0.007533296406109891,-1,0.0,0.0,0.007533296406109891,0.9943912992452546,-0.007533296406109891,1.0390656734533557
2016-08-24,-0.0004372259787759904,-0.004258069907031925,-1,0.0,0.0,0.004258069907031925,0.9986254869123851,-0.004258069907031925,1.034641259177794
2016-08-25,-0.0014912983668350034,-0.005856621213622293,-1,0.0,0.0,0.005856621213622293,1.0044740581235,-0.005856621213622293,1.0285817572308045
2016-08-26,-0.0012450377564997789,-0.0011221560318244173,-1,0.0,0.0,0.0011221560318244173,1.0056012347466345,-0.0011221560318244173,1.0274275280077034
2016-08-29,-0.0011052318929331967,-0.007676458566488464,-1,0.0,0.0,0.007676458566488464,1.0133206909595767,-0.007676458566488464,1.0195405231588826
2016-08-30,-0.0007095279076313954,0.0009433798567590745,-1,0.0,0.0,-0.0009433798567590745,1.0123647446312882,0.0009433798567590745,1.0205023371515802
2016-08-31,-0.0009910294055154704,0.005937840025666219,-1,0.0,0.0,-0.005937840025666219,1.0063534847300433,0.005937840025666219,1.0265619167754048
2016-09-01,-0.001170836674369243,0.009369434841753677,-1,0.0,0.0,-0.009369434841753677,0.9969245213270934,0.009369434841753677,1.0361802217656577
2016-09-02,-0.00164579462800151,-0.00027853096897234586,-1,0.0,0.0,0.00027853096897234586,0.9972021956800109,-0.00027853096897234586,1.0358916134844594
2016-09-06,-0.0018310885312894046,0.0061281700277879825,-1,0.0,0.0,-0.0061281700277879825,0.9910911710728003,0.0061281700277879825,1.0422397334222517
2016-09-07,-0.0022060573514530624,-0.02620897014743051,-1,0.0,0.0,0.02620897014743051,1.0170666499888292,-0.02620897014743051,1.014923703362522
2016-09-08,-0.0016742739534539404,-0.02264973268549808,-1,0.0,0.0,0.02264973268549808,1.040102937734411,-0.02264973268549808,0.9919359527851852
2016-09-09,-0.00025929413767008364,0.022398968444538037,-1,0.0,0.0,-0.022398968444538037,1.0168057048530268,0.022398968444538037,1.0141542948906233
2016-09-12,0.00017714415595622088,0.023804950130001723,1,2.0,0.001,0.022804950130001722,1.0399939082441012,0.023804950130001723,1.0382961873046217
2016-09-13,-0.0012069411391979284,0.035386751852151566,-1,2.0,0.001,-0.036386751852151566,1.0021519079770738,0.035386751852151566,1.0750381168338055
2016-09-14,-0.0013902448092581034,0.033998423974831216,-1,0.0,0.0,-0.033998423974831216,0.9680803225224832,0.033998423974831216,1.1115877185190253
2016-09-15,-0.0004878370033828831,-0.005624312929367714,-1,0.0,0.0,0.005624312929367714,0.973525109197113,-0.005624312929367714,1.1053358013416323
2016-09-16,-0.0015919690535304341,-0.011660257214752168,-1,0.0,0.0,0.011660257214752168,0.984876662375371,-0.011660257214752168,1.0924473015893148
2016-09-19,-0.0009879141595589185,-8.80616943805812e-05,-1,0.0,0.0,8.80616943805812e-05,0.9849633922830157,-8.80616943805812e-05,1.0923510988289153
2016-09-20,0.00020031604933724522,-0.00017606779008128015,1,2.0,0.001,-0.0011760677900812802,0.9838050085629424,-0.00017606779008128015,1.0921587709849516
